"bg_name","geo_id"
1,"510131003001"
2,"510131003002"
3,"510131003004"
4,"510131004001"
5,"510131003003"
6,"510131002003"
7,"510131003005"
8,"510131004002"
9,"510131002001"
10,"510131002002"
11,"510131005003"
12,"510131004003"
13,"510131001002"
14,"510131001003"
15,"510131002006"
16,"510131002005"
17,"510131002004"
18,"510131005004"
19,"510131007005"
20,"510131007001"
21,"510131005002"
22,"510131005001"
23,"510131015006"
24,"510131016011"
25,"510131015001"
26,"510131016021"
27,"510131016031"
28,"510131016012"
29,"510131016032"
30,"510131016033"
31,"510131001001"
32,"510131001004"
33,"510131010001"
34,"510131008001"
35,"510131008002"
36,"510131007006"
37,"510131006003"
38,"510131006002"
39,"510131006001"
40,"510131015005"
41,"510131015002"
42,"510131018021"
43,"510131016022"
44,"510131017013"
45,"510131017014"
46,"510131017012"
47,"510131017023"
48,"510131017022"
49,"510131017021"
50,"510131011005"
51,"510131011001"
52,"510131010002"
53,"510131009001"
54,"510131009002"
55,"510131007004"
56,"510131007002"
57,"510131014021"
58,"510131015004"
59,"510131015003"
60,"510131018025"
61,"510131018022"
62,"510131018024"
63,"510131018023"
64,"510131017011"
65,"510131017031"
66,"510131017032"
67,"510131011004"
68,"510131011002"
69,"510131010004"
70,"510131010003"
71,"510131009004"
72,"510131009003"
73,"510131007003"
74,"510131014011"
75,"510131014022"
76,"510131014023"
77,"510131014032"
78,"510131014033"
79,"510131014041"
80,"510131019001"
81,"510131018011"
82,"510131018031"
83,"510131018032"
84,"510131011003"
85,"510131012003"
86,"510131012002"
87,"510131013001"
88,"510131013004"
89,"510131014031"
90,"510131020012"
91,"510131014034"
92,"510131020021"
93,"510131019003"
94,"510131018034"
95,"510131018033"
96,"510131013002"
97,"510131013005"
98,"510131020011"
99,"510131020031"
100,"510131020032"
101,"510131020033"
102,"510131019002"
103,"510131024004"
104,"510131024002"
105,"510131024001"
106,"510131012001"
107,"510131013006"
108,"510131013003"
109,"510131023012"
110,"510131024003"
111,"510131025002"
112,"510131034011"
113,"510131025001"
114,"510139801001"
115,"510131035012"
116,"510131021002"
117,"510131021001"
118,"510131023011"
119,"510131023024"
120,"510131025003"
121,"510131032002"
122,"510131032001"
123,"510131033002"
124,"510131033001"
125,"510131035011"
126,"510131035013"
127,"510131035021"
128,"510131035031"
129,"510131022001"
130,"510131022002"
131,"510131022003"
132,"510131022004"
133,"510131022005"
134,"510131023021"
135,"510131023022"
136,"510131028014"
137,"510131027011"
138,"510131023023"
139,"510131026001"
140,"510131032004"
141,"510131032003"
142,"510131035022"
143,"510131035032"
144,"510131036021"
145,"510131034021"
146,"510131034022"
147,"510131028012"
148,"510131028013"
149,"510131028015"
150,"510131027012"
151,"510131027022"
152,"510131026002"
153,"510131031001"
154,"510131037001"
155,"510131036011"
156,"510131036012"
157,"510131036013"
158,"510131036022"
159,"510131034024"
160,"510131034025"
161,"510131028011"
162,"510131028016"
163,"510131028021"
164,"510131027021"
165,"510131031003"
166,"510131031002"
167,"510131038001"
168,"510131038002"
169,"510131038003"
170,"510131028022"
171,"510131029012"
172,"510131037002"
173,"510131034023"
174,"510139802001"
175,"510131029011"
176,"510131029013"
177,"510131029022"
178,"510131029021"
179,"510131030002"
180,"510131030001"
181,"510131030003"
